                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0688,                0.62474,                 1.0325,                0.95505,                0.95923,                0.97849,                0.68062,                 1.0727,                0.53635,                 1.1024,               0.008878,               0.008878,               0.008878
                     36,                 1.0604,                 0.6098,                  1.045,                0.94536,                0.94384,                0.97696,                0.67918,                 1.0995,                0.51347,                 1.1197,               0.008845,               0.008845,               0.008845
                     37,                 1.0708,                0.59242,                 1.0397,                 0.9564,                 0.9337,                0.97767,                0.66061,                 1.0843,                 0.5421,                 1.1297,               0.008812,               0.008812,               0.008812
                     38,                 1.0578,                0.59573,                 1.0412,                0.95123,                0.95114,                0.98563,                0.68525,                 1.0785,                0.54545,                 1.1211,               0.008779,               0.008779,               0.008779
                     39,                 1.0413,                0.58014,                 1.0201,                0.95279,                0.95068,                0.98475,                0.68994,                 1.0668,                0.51269,                 1.1189,               0.008746,               0.008746,               0.008746
                     40,                 1.0588,                 0.5771,                 1.0287,                0.95834,                0.96219,                0.98635,                0.69498,                 1.0734,                0.51107,                 1.1144,               0.008713,               0.008713,               0.008713
                     41,                 1.0388,                0.59224,                 1.0321,                0.96572,                0.95922,                0.98904,                0.69679,                  1.057,                0.49715,                 1.1066,                0.00868,                0.00868,                0.00868
                     42,                 1.0218,                0.56394,                 1.0376,                0.95894,                0.97578,                0.99013,                0.69131,                 1.0887,                0.51644,                 1.1265,               0.008647,               0.008647,               0.008647
                     43,                 1.0181,                0.57736,                 1.0287,                0.97081,                 0.9587,                0.98593,                0.67105,                 1.1182,                0.51197,                 1.1482,               0.008614,               0.008614,               0.008614
                     44,                  1.013,                0.56671,                0.99813,                0.95182,                0.96306,                0.98532,                 0.6903,                 1.0548,                0.51774,                 1.1215,               0.008581,               0.008581,               0.008581
                     45,                 1.0292,                0.56317,                 1.0271,                 0.9648,                 0.9523,                0.98613,                0.70441,                 1.0832,                 0.4842,                 1.1176,               0.008548,               0.008548,               0.008548
                     46,                 1.0151,                0.54873,                 1.0237,                0.96992,                0.95452,                0.98384,                0.68475,                 1.0801,                0.49468,                 1.1217,               0.008515,               0.008515,               0.008515
                     47,                 1.0219,                0.55987,                 1.0235,                0.96228,                0.93587,                0.97792,                0.68092,                 1.0722,                0.50352,                 1.1272,               0.008482,               0.008482,               0.008482
                     48,                 1.0062,                0.56293,                 1.0214,                0.94457,                0.96773,                0.98452,                0.69357,                 1.0667,                0.49106,                  1.117,               0.008449,               0.008449,               0.008449
                     49,                 1.0028,                0.55069,                 1.0098,                0.96617,                0.96702,                0.98766,                0.67298,                 1.0817,                0.50446,                 1.1398,               0.008416,               0.008416,               0.008416
                     50,                 1.0149,                0.54001,                 1.0255,                 0.9417,                0.98785,                0.98995,                0.70043,                 1.0359,                0.47782,                 1.1104,               0.008383,               0.008383,               0.008383
                     51,                 1.0267,                0.55219,                 1.0357,                0.96596,                0.96482,                0.98551,                0.69674,                 1.0503,                0.49659,                  1.109,                0.00835,                0.00835,                0.00835
                     52,                0.98904,                 0.5502,                 1.0112,                 0.9652,                0.97825,                0.99063,                0.70725,                 1.0475,                0.46785,                 1.1143,               0.008317,               0.008317,               0.008317
                     53,                 0.9978,                0.54354,                 1.0161,                0.95947,                0.96492,                0.98363,                0.68282,                 1.0858,                0.49632,                 1.1339,               0.008284,               0.008284,               0.008284
                     54,                 1.0011,                0.54571,                 1.0037,                0.96858,                0.96022,                0.98671,                0.69373,                 1.1096,                0.48591,                 1.1249,               0.008251,               0.008251,               0.008251
                     55,                0.99988,                0.53639,                 1.0122,                0.97259,                0.95254,                0.98912,                0.70426,                 1.0769,                0.48334,                 1.1145,               0.008218,               0.008218,               0.008218
                     56,                0.97557,                 0.5295,                 1.0051,                0.96749,                0.96667,                0.98657,                0.69453,                 1.0702,                0.47128,                 1.1245,               0.008185,               0.008185,               0.008185
                     57,                 1.0037,                0.51633,                 1.0228,                 0.9685,                0.88494,                0.96447,                0.67098,                  1.103,                0.58489,                 1.1336,               0.008152,               0.008152,               0.008152
                     58,                0.99084,                0.52585,                  1.015,                0.97589,                 0.9463,                0.98425,                0.70433,                 1.0758,                0.48647,                 1.1179,               0.008119,               0.008119,               0.008119
                     59,                0.97208,                 0.5212,                 1.0132,                0.96313,                0.95747,                0.98362,                0.68781,                 1.0642,                0.48585,                 1.1172,               0.008086,               0.008086,               0.008086
                     60,                0.97673,                0.51812,                 1.0119,                0.97121,                0.97824,                0.98911,                 0.7038,                 1.0615,                 0.4685,                 1.1161,               0.008053,               0.008053,               0.008053
                     61,                 0.9899,                0.52612,                 1.0124,                0.97346,                 0.9668,                0.98924,                0.70018,                 1.0541,                0.46848,                 1.1118,                0.00802,                0.00802,                0.00802
                     62,                0.96302,                0.51451,                 1.0173,                0.96739,                 0.9732,                0.98519,                0.69384,                  1.068,                0.48694,                 1.1161,               0.007987,               0.007987,               0.007987
                     63,                0.99018,                0.52711,                 1.0226,                0.96589,                0.97676,                0.99039,                0.71708,                 1.0434,                 0.4505,                 1.1035,               0.007954,               0.007954,               0.007954
                     64,                0.97738,                 0.5212,                 1.0051,                0.96427,                0.96228,                 0.9868,                0.69946,                 1.1027,                0.48659,                 1.1219,               0.007921,               0.007921,               0.007921
                     65,                0.95167,                 0.5089,                0.99028,                0.98026,                 0.9652,                0.98904,                0.68237,                  1.127,                0.48182,                 1.1355,               0.007888,               0.007888,               0.007888
                     66,                0.95531,                0.51125,                 1.0055,                0.97551,                 0.9718,                0.99018,                0.70374,                 1.0504,                0.44065,                 1.1168,               0.007855,               0.007855,               0.007855
                     67,                  0.963,                0.51009,                0.99997,                0.96906,                0.97804,                 0.9895,                 0.7038,                 1.0667,                0.44133,                 1.1024,               0.007822,               0.007822,               0.007822
                     68,                0.96391,                0.49775,                 1.0017,                0.95141,                0.96395,                0.97969,                0.69647,                 1.0801,                0.49247,                 1.1142,               0.007789,               0.007789,               0.007789
                     69,                0.95422,                0.50591,                  1.001,                0.97232,                0.95496,                0.98517,                0.70129,                 1.0887,                0.47459,                 1.1172,               0.007756,               0.007756,               0.007756
                     70,                0.95413,                0.51237,                 1.0193,                0.95779,                0.93365,                0.97601,                0.69058,                 1.1131,                0.51194,                 1.1411,               0.007723,               0.007723,               0.007723
                     71,                0.95215,                0.49337,                0.99879,                0.97982,                0.96831,                0.98561,                0.71071,                 1.0717,                0.46027,                 1.1125,                0.00769,                0.00769,                0.00769
                     72,                0.95775,                0.49318,                0.99689,                0.97647,                0.96946,                0.98844,                0.70433,                 1.0843,                 0.4487,                 1.1119,               0.007657,               0.007657,               0.007657
                     73,                0.95086,                0.49216,                0.99549,                0.96929,                0.96858,                0.98562,                0.68894,                 1.1141,                0.48293,                 1.1219,               0.007624,               0.007624,               0.007624
                     74,                0.93392,                0.48193,                0.99962,                0.98853,                0.97683,                0.98696,                0.70392,                 1.0843,                0.44856,                  1.112,               0.007591,               0.007591,               0.007591
                     75,                0.93534,                0.48816,                0.99644,                 0.9728,                0.97572,                0.98742,                0.69234,                 1.1258,                0.46281,                 1.1193,               0.007558,               0.007558,               0.007558
                     76,                0.94193,                0.49961,                0.99895,                0.98217,                0.96955,                0.98621,                0.70979,                 1.0708,                0.44108,                  1.106,               0.007525,               0.007525,               0.007525
                     77,                0.94596,                0.47673,                0.99011,                0.98569,                0.97267,                 0.9904,                0.68765,                  1.095,                0.45224,                 1.1191,               0.007492,               0.007492,               0.007492
                     78,                0.91156,                0.45891,                0.99145,                0.97894,                0.97463,                0.98999,                0.71322,                 1.0723,                0.43689,                  1.098,               0.007459,               0.007459,               0.007459
                     79,                0.93775,                0.49506,                0.98738,                0.97819,                0.95181,                0.98753,                0.69652,                 1.0839,                0.46059,                 1.1103,               0.007426,               0.007426,               0.007426
                     80,                0.93293,                0.49164,                0.99332,                0.95703,                0.95761,                0.98047,                0.68491,                 1.1208,                0.47868,                 1.1299,               0.007393,               0.007393,               0.007393
                     81,                 0.9332,                  0.478,                  0.988,                 0.9572,                0.96688,                0.98468,                0.70867,                 1.0905,                0.46841,                 1.1157,                0.00736,                0.00736,                0.00736
                     82,                0.92142,                0.48009,                0.98855,                0.96454,                0.98251,                0.98656,                0.70634,                 1.0944,                0.44873,                 1.1132,               0.007327,               0.007327,               0.007327
                     83,                0.92217,                0.47314,                0.99022,                0.97127,                0.97835,                0.98885,                0.70468,                 1.1027,                0.44508,                 1.1108,               0.007294,               0.007294,               0.007294
                     84,                0.90704,                0.48116,                0.99757,                0.96814,                0.95998,                  0.987,                0.70348,                 1.0876,                0.45266,                 1.1058,               0.007261,               0.007261,               0.007261
                     85,                 0.9193,                0.48005,                0.98259,                0.96757,                0.96162,                0.98061,                0.69141,                 1.0679,                0.47459,                 1.1123,               0.007228,               0.007228,               0.007228
                     86,                0.91659,                0.47162,                0.99285,                0.97381,                0.97662,                0.98351,                0.70576,                 1.0959,                0.45175,                 1.1143,               0.007195,               0.007195,               0.007195
                     87,                0.91977,                0.48383,                0.98314,                0.96427,                0.97311,                0.98508,                0.69924,                 1.0785,                0.45461,                  1.114,               0.007162,               0.007162,               0.007162
                     88,                0.91163,                 0.4791,                0.98753,                0.98085,                0.96709,                0.98675,                0.69641,                 1.0669,                0.45211,                 1.1089,               0.007129,               0.007129,               0.007129
                     89,                0.89463,                0.47894,                0.98677,                0.99207,                0.96569,                0.98935,                0.69968,                  1.081,                0.45071,                 1.1087,               0.007096,               0.007096,               0.007096
                     90,                0.90976,                0.46003,                0.98073,                0.97929,                0.96296,                0.98603,                0.70108,                 1.1026,                0.44427,                 1.1141,               0.007063,               0.007063,               0.007063
                     91,                0.88829,                0.46263,                0.97544,                 0.9702,                0.97723,                0.98908,                0.70158,                 1.0994,                0.44542,                 1.1168,                0.00703,                0.00703,                0.00703
                     92,                0.89139,                0.46451,                 0.9722,                0.97768,                0.96815,                0.99046,                0.70646,                 1.0998,                0.45629,                 1.1172,               0.006997,               0.006997,               0.006997
                     93,                0.90395,                0.45906,                0.98706,                0.97444,                0.95962,                0.98991,                 0.6905,                 1.1414,                0.46003,                 1.1333,               0.006964,               0.006964,               0.006964
                     94,                0.89956,                 0.4661,                0.99764,                0.97799,                0.96727,                0.99035,                0.70937,                 1.0934,                 0.4423,                 1.1094,               0.006931,               0.006931,               0.006931
