epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1.1786,0.92308,1.1313,0.6965,0.41839,0.44046,0.2508,1.2183,1.3056,1.1992,0.008515,0.008515,0.008515
47,1.2529,1.0361,1.1386,0.56546,0.43728,0.3819,0.20374,1.2514,1.6574,1.2253,0.008482,0.008482,0.008482
48,1.1324,1.0309,1.1251,0.74606,0.47318,0.51071,0.28362,1.2,1.1495,1.1771,0.008449,0.008449,0.008449
49,1.1453,0.93032,1.111,0.60692,0.48544,0.48263,0.28913,1.195,1.2417,1.1705,0.008416,0.008416,0.008416
50,1.1412,0.95901,1.1167,0.669,0.46674,0.48933,0.2933,1.1934,1.1665,1.1668,0.008383,0.008383,0.008383
51,1.1925,0.99254,1.0761,0.69426,0.40758,0.48027,0.28608,1.2194,1.1679,1.1613,0.00835,0.00835,0.00835
52,1.1697,0.94738,1.0877,0.69679,0.49762,0.49247,0.2761,1.2702,1.2374,1.1695,0.008317,0.008317,0.008317
53,1.1682,0.93826,1.1027,0.76183,0.50229,0.52918,0.29979,1.1745,1.1772,1.1515,0.008284,0.008284,0.008284
54,1.184,0.91408,1.0971,0.67518,0.52668,0.51689,0.29603,1.2094,1.2704,1.1627,0.008251,0.008251,0.008251
55,1.1819,0.9057,1.0933,0.72562,0.45088,0.5303,0.31942,1.193,1.0114,1.1459,0.008218,0.008218,0.008218
56,1.1583,0.91371,1.0928,0.72128,0.43134,0.56562,0.32466,1.1805,1.1401,1.1439,0.008185,0.008185,0.008185
57,1.1602,0.87644,1.1077,0.70062,0.48712,0.52394,0.31181,1.2042,1.0034,1.149,0.008152,0.008152,0.008152
58,1.1668,0.83047,1.0816,0.7092,0.49493,0.49613,0.26103,1.2341,1.1211,1.1809,0.008119,0.008119,0.008119
59,1.0704,0.93634,1.1346,0.33805,0.27451,0.27868,0.16065,1.3411,1.358,1.2951,0.008086,0.008086,0.008086
60,1.0782,0.83414,1.1021,0.39166,0.30052,0.28651,0.15022,1.3849,1.3529,1.3154,0.008053,0.008053,0.008053
61,1.0962,0.90666,1.1158,0.53209,0.3224,0.34816,0.17741,1.2951,1.5136,1.2505,0.00802,0.00802,0.00802
62,1.0978,0.82286,1.1059,0.59363,0.32778,0.3853,0.18591,1.3302,1.5538,1.2578,0.007987,0.007987,0.007987
63,1.1454,0.85951,1.0877,0.59329,0.45356,0.43754,0.21882,1.2929,1.4737,1.1984,0.007954,0.007954,0.007954
64,1.1903,0.88071,1.0838,0.70576,0.46316,0.52626,0.2711,1.3998,1.2374,1.2326,0.007921,0.007921,0.007921
65,1.2008,0.85513,1.0695,0.8247,0.4438,0.57028,0.321,1.2595,1.1608,1.1733,0.007888,0.007888,0.007888
66,1.1237,0.84171,1.0821,0.76215,0.4663,0.54592,0.30291,1.2746,1.1709,1.1683,0.007855,0.007855,0.007855
67,1.1414,0.81537,1.0839,0.60518,0.46957,0.45306,0.216,1.3038,1.2804,1.1932,0.007822,0.007822,0.007822
68,1.0721,0.80811,1.1156,0.77011,0.397,0.52026,0.29543,1.2032,1.3191,1.1494,0.007789,0.007789,0.007789
69,1.0915,0.81954,1.0913,0.80837,0.49511,0.58791,0.34562,1.1997,1.1034,1.1403,0.007756,0.007756,0.007756
