                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0343,                0.59914,                 1.0248,                0.96464,                0.94699,                0.98955,                0.68815,                 1.1248,                0.53384,                 1.1248,               0.008878,               0.008878,               0.008878
                     36,                 1.0111,                0.57776,                 1.0111,                0.95665,                0.95391,                0.97558,                0.68079,                 1.0967,                0.53285,                 1.1172,               0.008845,               0.008845,               0.008845
                     37,                 1.0056,                0.58283,                 1.0083,                0.95291,                0.96259,                0.96992,                0.67143,                 1.1275,                0.54796,                 1.1326,               0.008812,               0.008812,               0.008812
                     38,                0.99644,                0.58397,                 1.0153,                0.95589,                0.95773,                0.98245,                0.67877,                 1.1087,                0.54416,                 1.1244,               0.008779,               0.008779,               0.008779
                     39,                 1.0125,                0.58467,                 1.0241,                0.95868,                0.97735,                0.98314,                0.69622,                 1.1186,                0.50633,                 1.1207,               0.008746,               0.008746,               0.008746
                     40,                 1.0113,                0.57626,                 1.0124,                0.95531,                0.95375,                0.97778,                0.68186,                 1.1145,                0.52724,                 1.1343,               0.008713,               0.008713,               0.008713
                     41,                 1.0172,                0.57089,                 1.0189,                0.95351,                0.97143,                0.97301,                0.68413,                 1.0921,                0.50963,                 1.1195,                0.00868,                0.00868,                0.00868
                     42,                0.99092,                0.56858,                0.99682,                0.97151,                0.96073,                0.98038,                0.69142,                 1.1005,                0.53076,                 1.1118,               0.008647,               0.008647,               0.008647
                     43,                0.98521,                0.57528,                 0.9971,                0.95287,                0.94292,                 0.9783,                0.67931,                 1.1162,                0.53344,                 1.1246,               0.008614,               0.008614,               0.008614
                     44,                0.98184,                0.55483,                 1.0021,                0.97548,                0.95783,                 0.9863,                0.68015,                 1.1291,                0.52672,                 1.1255,               0.008581,               0.008581,               0.008581
                     45,                0.97278,                 0.5726,                 0.9947,                0.96253,                0.95743,                0.98645,                0.68603,                 1.1608,                0.52613,                 1.1329,               0.008548,               0.008548,               0.008548
                     46,                 0.9739,                0.55396,                  1.002,                0.98152,                0.95889,                 0.9871,                0.68441,                 1.1522,                0.51468,                 1.1319,               0.008515,               0.008515,               0.008515
                     47,                0.97921,                0.53546,                      1,                0.96102,                0.96162,                0.98239,                0.69111,                 1.1112,                0.50987,                 1.1188,               0.008482,               0.008482,               0.008482
                     48,                0.97519,                 0.5471,                  1.005,                0.96717,                0.96104,                0.98472,                0.68867,                 1.1038,                0.51876,                 1.1209,               0.008449,               0.008449,               0.008449
                     49,                0.95897,                 0.5409,                 1.0047,                0.96062,                0.97457,                0.98288,                0.67337,                 1.1418,                0.52559,                 1.1295,               0.008416,               0.008416,               0.008416
                     50,                0.96336,                0.54332,                0.99572,                0.95817,                0.98069,                0.98863,                0.69418,                 1.1263,                0.48928,                 1.1255,               0.008383,               0.008383,               0.008383
                     51,                0.95847,                0.52573,                0.98861,                0.95982,                0.97055,                0.98702,                0.69295,                 1.1007,                 0.4986,                 1.1201,                0.00835,                0.00835,                0.00835
                     52,                0.95428,                 0.5277,                 0.9952,                 0.9647,                0.96554,                 0.9853,                0.67509,                 1.1252,                0.51279,                 1.1305,               0.008317,               0.008317,               0.008317
                     53,                 0.9375,                0.53428,                0.99881,                0.97183,                 0.9653,                0.98402,                0.68814,                 1.1412,                 0.4946,                 1.1332,               0.008284,               0.008284,               0.008284
                     54,                0.95326,                0.53623,                0.99132,                0.94795,                0.96807,                0.97809,                0.68453,                 1.1115,                0.50314,                 1.1315,               0.008251,               0.008251,               0.008251
                     55,                0.95709,                0.54943,                0.98706,                 0.9632,                0.95331,                 0.9848,                 0.6933,                  1.148,                0.51122,                 1.1169,               0.008218,               0.008218,               0.008218
